"from","to","hiking_time_to","hiking_time_back"
176,220,239770,239605
177,199,288188,288217
177,221,238338,238338
178,200,268672,267907
178,222,250047,250087
179,200,254132,257890
179,201,254737,257819
179,223,238822,243014
180,201,256021,261400
180,202,261802,261012
180,224,247207,250882
181,202,261406,259333
181,203,263346,263143
181,225,249125,252646
182,203,258214,260556
182,204,258235,258332
182,226,249278,253853
183,204,258313,254578
183,205,255558,256243
183,227,239319,240774
184,205,252703,258945
184,206,253050,258455
184,228,235794,241980
185,206,255138,256514
185,207,254901,256644
185,229,239519,238648
186,207,252415,259155
186,208,279306,278320
186,230,241403,249384
187,208,288691,299535
187,209,280832,285427
187,231,300140,312640
188,209,283076,292505
188,210,274431,272870
188,232,283800,296477
189,210,276131,274281
189,211,273612,275128
189,233,305024,306067
190,211,291115,294983
190,212,329633,348825
190,234,326474,340288
191,212,256021,255678
191,213,255571,255930
191,235,240009,240146
192,213,255634,255918
192,214,255805,256091
192,236,240154,240147
193,214,256357,256181
193,215,255900,256065
193,237,242812,243070
194,215,256406,256367
194,216,255910,256212
194,238,243259,243587
195,216,256032,256006
195,217,255918,256054
195,239,241723,242008
196,217,255926,256224
196,218,283837,282982
196,240,253366,253811
197,218,264240,263518
197,219,272112,270055
197,241,290474,286419
198,219,287258,292089
198,220,268721,274572
198,242,283350,287524
199,220,255250,256652
199,221,262629,263746
199,243,243240,244595
200,222,273993,271850
200,223,255030,255130
200,244,244046,244553
201,223,254851,255162
201,224,257127,256244
201,245,241460,242417
202,224,258108,261725
202,225,258255,264304
202,246,245364,249540
203,225,260892,263406
203,226,254384,258246
203,247,241675,243514
204,226,253873,259958
204,227,253470,258371
204,248,243006,248974
205,227,255626,255875
205,228,255637,255771
205,249,238986,239079
206,228,255202,256170
206,229,256972,254703
206,250,238271,239621
207,229,260623,260347
207,230,255009,256469
207,251,262019,259540
208,230,256527,264001
208,231,286552,292562
208,252,254316,263977
209,231,278425,289202
209,232,286071,293017
209,253,285114,299882
210,232,273459,289231
210,233,273558,275631
210,254,291212,308802
211,233,310019,312784
211,234,332312,342667
211,255,351320,363413
212,234,302866,300009
212,235,255463,256023
212,256,241480,241581
213,235,255794,255646
213,236,255855,255624
213,257,239594,239617
214,236,256005,255809
214,237,256091,256403
214,258,246221,246413
215,237,255902,255925
215,238,255741,256051
215,259,241571,241961
216,238,256034,256047
216,239,255936,256085
216,260,242382,242599
217,239,255801,255818
217,240,256005,255930
217,261,240021,240091
218,240,263909,264639
218,241,264757,259694
218,262,263696,264322
219,241,280948,278020
219,242,280504,280134
219,263,272468,273312
220,242,258184,256492
220,243,256191,255466
220,264,240796,241411
221,243,256135,254931
221,265,238227,238227
222,244,280592,281682
222,266,266749,265883
223,244,254709,254960
223,245,255596,255720
224,245,255974,257136
224,246,255732,256508
224,267,238921,240501
225,246,257247,256969
225,247,257169,254987
226,247,256767,255011
226,248,256642,255900
226,268,239175,240048
227,248,255533,255966
227,249,255943,255671
227,269,237999,239802
228,249,255831,255681
228,250,255559,255901
228,270,238912,240146
229,250,254068,257646
229,251,265992,265907
229,271,237453,241593
230,251,268716,262776
230,252,255401,256068
230,272,241800,242568
231,252,254938,256624
231,253,255918,255551
231,273,238084,239494
232,253,261968,266911
232,254,267155,270834
232,274,259778,265191
233,254,304638,319786
233,255,348554,355355
233,275,306102,319610
234,255,301903,302756
234,256,298213,305093
234,276,290358,298288
235,256,256046,255537
235,257,255749,255885
235,277,242168,241124
236,257,255741,255957
236,258,259442,259832
236,278,241782,241542
237,258,256981,256387
237,259,255767,255940
237,279,243330,243476
238,259,256116,255993
238,260,256079,256202
238,280,241869,242402
239,260,256118,256092
239,261,255846,255868
239,281,240183,240327
240,261,256044,256157
240,262,259482,258832
240,282,240549,240639
241,262,285238,289347
241,263,277093,281577
241,283,267937,270974
242,263,263404,263475
242,264,255748,258361
242,284,249974,250430
243,264,255327,256344
243,265,269958,270132
243,285,241461,242349
244,266,259179,258539
244,286,238227,238227
245,267,255735,255735
246,267,255059,256244
247,268,254258,256286
248,268,254589,256497
248,269,254901,256327
248,287,237513,239335
249,269,254673,256767
249,270,255054,256505
249,288,238671,239967
250,270,255218,256178
250,271,255410,256161
250,289,238262,239567
251,271,254178,258293
251,272,255536,259614
251,290,241652,246376
252,272,255816,255928
252,273,255836,255503
252,291,238544,238751
253,273,254818,256536
253,274,255236,256337
253,292,237896,239346
254,274,254614,256915
254,275,258967,258438
254,293,238957,241134
255,275,278026,282423
255,276,278125,286064
255,294,269192,275067
256,276,256363,255321
256,277,256252,255814
256,295,246440,244857
257,277,256452,255357
257,278,256008,255507
257,296,241145,241101
258,278,256864,256557
258,279,256792,257587
258,297,253609,254172
259,279,256180,256078
259,280,255843,256018
259,298,241469,241552
260,280,255981,255995
260,281,255986,256028
260,299,241606,242218
261,281,255917,255895
261,282,255973,256092
261,300,241322,241670
262,282,255458,256433
262,283,278255,277218
262,301,252752,253387
263,283,268337,268423
263,284,260512,260175
263,302,264647,262935
264,284,258388,255770
264,285,255793,255801
264,303,256403,254643
265,285,258521,258742
265,304,238227,238227
266,286,256878,257343
268,287,255569,255586
269,287,255470,255783
269,288,256320,255456
269,305,238327,238844
270,288,255857,255632
270,289,255553,255862
270,306,238708,238916
271,289,255589,256107
271,290,255540,255941
271,307,238987,239540
272,290,255791,255632
272,291,255661,255752
272,308,239033,239246
273,291,255436,255987
273,292,255838,255605
273,309,238459,239036
274,292,255638,256022
274,293,255696,255763
274,310,238444,239049
275,293,254586,257295
275,294,255119,256544
275,311,238083,240840
276,294,255902,255560
276,295,257669,257475
276,312,238507,239063
277,295,257959,256589
277,296,255591,256559
277,313,241137,241561
278,296,255739,256126
278,297,256608,257048
278,314,248943,248505
279,297,257858,257200
279,298,256014,256122
279,315,241321,241164
280,298,256107,255947
280,299,255844,256200
280,316,242439,242551
281,299,255811,256150
281,300,255947,256078
281,317,242562,242914
282,300,255963,255928
282,301,263753,263361
282,318,240750,240454
283,301,263537,265228
283,302,267710,266591
283,319,252903,255049
284,302,263667,262135
284,303,256360,256920
284,320,256877,258019
285,303,263453,262272
285,304,255620,255623
285,321,240746,240711
287,305,255250,255027
288,305,254751,256112
288,306,255564,255964
288,322,239757,240267
289,306,255779,255646
289,307,255755,255905
289,323,238994,239386
290,307,255585,255852
290,308,255540,255873
290,324,238843,238976
291,308,255668,255752
291,309,255713,255729
291,325,238484,238702
292,309,255332,256133
292,310,255723,255956
292,326,238351,239092
293,310,255451,256001
293,311,255614,255839
293,327,238238,238934
294,311,254934,256552
294,312,255341,256213
294,328,237897,239683
295,312,256305,257261
295,313,256029,257789
295,329,245523,246599
296,313,256083,255535
296,314,256750,256215
296,330,245227,243396
297,314,257728,257329
297,315,256570,257057
297,331,248166,248092
298,315,256331,256070
298,316,255880,256295
298,332,248322,247525
299,316,256204,256082
299,317,256347,256213
299,333,242591,242630
300,317,255860,256099
300,318,256094,255970
300,334,249015,248463
301,318,256384,256635
301,319,257161,257200
301,335,252931,251029
302,319,259479,262946
302,320,267727,271012
302,336,274202,272061
303,320,260319,260971
303,321,258181,260065
303,337,244079,245903
304,321,255976,255898
305,322,256062,255170
306,322,255624,255699
306,323,255404,255921
306,338,238818,238762
307,323,255694,255928
307,324,255787,255645
307,339,238538,239171
308,324,255835,255626
308,325,255624,255732
308,340,238799,238922
309,325,255576,255751
309,326,255764,255655
309,341,238703,238963
310,326,255576,256033
310,327,255610,255751
310,342,238485,238940
311,327,255454,255921
311,328,255575,255809
311,343,238253,238968
312,328,255228,256187
312,329,256441,256782
312,344,247122,246152
313,329,256271,256199
313,330,258862,258439
313,345,241578,240779
314,330,258969,257105
314,331,259417,259903
314,346,243147,242929
315,331,257530,256470
315,332,258201,258106
315,347,248598,248021
316,332,258552,257100
316,333,256098,256082
316,348,246989,246543
317,333,256083,255957
317,334,259141,258329
317,349,252676,252126
318,334,262416,261357
318,335,259146,256959
318,350,247263,246616
319,335,258563,256353
319,336,269603,263554
319,351,241050,241088
320,336,272627,267079
320,337,257890,258699
320,352,259742,259979
321,337,255358,255298
322,338,255796,255687
322,353,238388,239165
323,338,256014,255463
323,339,255615,256074
323,354,238737,239040
324,339,255341,256176
324,340,255617,255951
324,355,238583,239113
325,340,255718,255735
325,341,255710,255777
325,356,238871,238721
326,341,255575,255925
326,342,255897,255855
326,357,239353,239569
327,342,255591,255866
327,343,255623,255873
327,358,238576,238987
328,343,255476,255960
328,344,256771,255778
328,359,238448,239200
329,344,260866,260578
329,345,260750,260973
329,360,241299,242263
330,345,257037,257590
330,346,256078,257208
330,361,242699,242055
331,346,259650,258646
331,347,257511,258117
331,362,247091,247158
332,347,260699,259871
332,348,258988,259802
332,363,250645,251625
333,348,257066,256365
333,349,257006,256584
333,364,243884,244069
334,349,258188,258528
334,350,262775,262640
334,365,267061,268126
335,350,258443,259647
335,351,264650,266697
335,366,252392,253616
336,351,281830,287356
336,352,258651,264648
336,367,264898,270624
337,352,257267,256881
337,368,239176,239289
338,353,255321,256189
338,354,255234,256084
338,369,238554,239557
339,354,255888,255730
339,355,255858,255575
339,370,240038,239229
340,355,255590,255807
340,356,255821,255613
340,371,239357,238959
341,356,255838,255579
341,357,255763,255688
341,372,239079,238962
342,357,255654,255971
342,358,255642,255767
342,373,238732,239105
343,358,255626,255776
343,359,255556,255790
343,374,244256,242118
344,359,255071,256322
344,360,259183,259704
344,375,248853,249594
345,360,255466,257406
345,361,257038,255606
345,376,249173,251558
346,361,257095,255128
346,362,257406,258376
346,377,242187,242550
347,362,257828,257636
347,363,256257,257748
347,378,249448,250229
348,363,256881,257124
348,364,257443,258414
348,379,260583,260597
349,364,257344,257774
349,365,261237,261279
349,380,250211,251898
350,365,261310,262120
350,366,267025,266695
350,381,253294,253081
351,366,259476,258661
351,367,256221,256509
351,382,246267,245730
352,367,257107,257136
352,368,255976,256375
352,383,240789,241321
353,369,255704,255827
354,369,255639,255780
354,370,256358,255448
354,384,238647,238807
355,370,256267,255498
355,371,256279,255586
355,385,242095,241162
356,371,255919,255652
356,372,255665,255798
356,386,239397,239229
357,372,255760,255710
357,373,255829,255854
357,387,245245,244704
358,373,255644,255861
358,374,260060,257353
358,388,242873,240243
359,374,257777,255054
359,375,255838,255663
359,389,239434,239085
360,375,255817,255867
360,376,256029,255587
360,390,239954,240041
361,376,255711,258020
361,377,254888,257051
361,391,240605,241924
362,377,257420,256916
362,378,257676,258844
362,392,246975,246829
363,378,256548,256113
363,379,263064,263562
363,393,255029,254506
364,379,265585,264735
364,380,256179,256561
364,394,258471,258825
365,380,259281,259894
365,381,266274,265454
365,395,253319,254628
366,381,266393,266985
